"COLEGIUL NAȚIONAL ""DINICU GOLESCU"" CÂMPULUNG",./SpecPerLic.aspx?jud=2&Lic=11305067,Teoretica,Umanist,Ştiinţe Sociale,6.56
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Umanist,Filologie,8.95
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Umanist,Filologie,9.05
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Real,Matematică-Informatică,9.29
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Real,Matematică-Informatică,9.54
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Real,Ştiinţe ale Naturii,9.52
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11305001,Teoretica,Umanist,Ştiinţe Sociale,9.13
"COLEGIUL NAȚIONAL ""VLAICU VODĂ"" CURTEA DE ARGEȘ",./SpecPerLic.aspx?jud=2&Lic=11305367,Teoretica,Umanist,Filologie,8.2
"COLEGIUL NAȚIONAL ""VLAICU VODĂ"" CURTEA DE ARGEȘ",./SpecPerLic.aspx?jud=2&Lic=11305367,Teoretica,Real,Matematică-Informatică,8.5
"COLEGIUL NAȚIONAL ""VLAICU VODĂ"" CURTEA DE ARGEȘ",./SpecPerLic.aspx?jud=2&Lic=11305367,Teoretica,Real,Ştiinţe ale Naturii,8.14
"COLEGIUL NAȚIONAL ""VLAICU VODĂ"" CURTEA DE ARGEȘ",./SpecPerLic.aspx?jud=2&Lic=11305367,Teoretica,Umanist,Ştiinţe Sociale,7.94
"COLEGIUL NAȚIONAL ""ZINCA GOLESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304990,Teoretica,Umanist,Filologie,8.58
"COLEGIUL NAȚIONAL ""ZINCA GOLESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304990,Teoretica,Umanist,Filologie,8.54
"COLEGIUL NAȚIONAL ""ZINCA GOLESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304990,Teoretica,Real,Matematică-Informatică,8.62
